featureName,featureClass,lat,lon,elevationFeet
Twin Sisters Peak,Summit,39.9727642,-105.3844383,8694
Forsythe Rock,Pillar,39.9666532,-105.4091612,8232
Eldorado Mountain,Summit,39.9141531,-105.2947131,8323
Scar Top Mountain,Summit,39.9097088,-105.3269363,8776
Crescent Mountain,Summit,39.8930422,-105.3138803,8914
Coal Creek Peak,Summit,39.8883199,-105.2913796,8478
Shirttail Peak,Summit,39.9341529,-105.2886018,7218
Devils Thumb,Pillar,39.9524861,-105.2899907,7733
South Boulder Peak,Summit,39.953875,-105.2991577,8524
Langridge Dyke,Summit,39.9513752,-105.3402701,7405
Castle Rock,Pillar,39.9474864,-105.3486038,7549
Tram Hill,Summit,39.9983193,-105.3330478,7090
Saddle Rock,Pillar,39.9922081,-105.2999911,6988
Green Mountain,Summit,39.9794304,-105.3016578,7926
The Flatirons,Summit,39.9841526,-105.2941576,7155
Bear Peak,Summit,39.9605417,-105.2952687,8458
Echo Rock,Pillar,39.9819303,-105.2822128,6145
Table Mountain,Summit,39.9774859,-105.2786016,6204
Lake Mesa,Summit,39.9485968,-105.1949875,5725
Davidson Mesa,Summit,39.9310969,-105.1916541,5787
Mount Nystrom,Summit,39.8088755,-105.901957,12651
Saint Louis Peak,Summit,39.7949865,-105.9386252,12257
Bills Peak,Summit,39.8558197,-105.9622375,12621
Byers Peak,Summit,39.8644308,-105.9472369,12815
Red Mountain,Summit,39.7588758,-105.8388985,12296
Stanley Mountain,Summit,39.7858202,-105.8227868,12529
Colorado Mines Peak,Summit,39.7958204,-105.764451,12392
Vasquez Peak,Summit,39.7960979,-105.8550104,12939
Twin Cones,Summit,39.8372092,-105.7863965,12050
Cone Mountain,Summit,39.7830428,-105.7408389,12237
Red Elephant Hill,Summit,39.7769319,-105.6483355,10292
Fox Mountain,Summit,39.8330429,-105.6436133,10932
Mount Eva,Summit,39.8274872,-105.7186161,13130
Witter Peak,Summit,39.8141539,-105.7161159,12854
Breckinridge Peak,Summit,39.7994316,-105.7241717,12864
Mount Flora,Summit,39.8049872,-105.7363944,13126
Parry Peak,Summit,39.8380428,-105.7133381,13373
Haystack Mountain,Summit,39.8669316,-105.6919485,11762
James Peak,Summit,39.8522094,-105.6900039,13307
Mount Bancroft,Summit,39.8416539,-105.7005598,12044
Kingston Peak,Summit,39.8474873,-105.6508358,12132
Bellevue Mountain,Summit,39.763599,-105.5422203,9691
Alps Hill,Summit,39.78721,-105.5419426,9747
Quartz Hill,Summit,39.7885989,-105.5355535,9577
Seaton Mountain,Summit,39.7602658,-105.5127747,9094
Pewabic Mountain,Summit,39.7691546,-105.5288865,9918
Bobtail Hill,Summit,39.7924878,-105.5063857,8940
Mammoth Hill,Summit,39.7958211,-105.5074969,8861
Central Hill,Summit,39.7977656,-105.5111082,8661
Nevada Hill,Summit,39.7977655,-105.5341646,9219
Bates Hill,Summit,39.8030434,-105.5055524,8517
Winnebago Hill,Summit,39.8052656,-105.5119416,8776
Aunt Clara Brown Hill,Summit,39.8080433,-105.5252754,9088
Castle Rock,Pillar,39.8077655,-105.5138861,8569
Maryland Mountain,Summit,39.8124877,-105.5058303,9209
Queens Chair,Pillar,39.8166544,-105.5186086,8802
Bald Mountain,Summit,39.7922099,-105.5544431,9980
Sheridan Hill,Summit,39.8202653,-105.6027783,10728
California Mountain,Summit,39.8683206,-105.5880558,10627
Montana Mountain,Summit,39.8577651,-105.5983339,10938
Blackhawk Peak,Summit,39.8408208,-105.5474986,10167
Michigan Hill,Summit,39.8469318,-105.5641659,10417
Arizona Mountain,Summit,39.850543,-105.5833333,10298
Idaho Hill,Summit,39.8613763,-105.5830556,10535
Utah Hill,Summit,39.8622096,-105.5638882,10499
Oregon Hill,Summit,39.8591541,-105.5577768,10892
Dakota Hill,Summit,39.8691541,-105.5536101,10925
Fairburn Mountain,Summit,39.8594319,-105.5055527,10384
Banta Hill,Summit,39.7752657,-105.4936075,8651
Justice Hill,Summit,39.7830435,-105.4897185,8730
Signal Hill,Summit,39.7913767,-105.4861074,8802
Douglas Mountain,Summit,39.786932,-105.3766597,9603
Black Hawk Mountain,Summit,39.7999876,-105.4130497,9367
Ely Hill,Summit,39.8047098,-105.4202721,10000
Smith Hill,Summit,39.8024876,-105.4419395,8737
Silver Hill,Summit,39.8169321,-105.49583,9062
Dory Hill,Summit,39.8385987,-105.4874964,9606
Ralston Roost,Pillar,39.8383207,-105.4241613,9258
Tremont Mountain,Summit,39.8663761,-105.4366617,10377
Centennial Cone,Summit,39.7524877,-105.3588813,8661
Guy Hill,Summit,39.7772097,-105.3286028,8097
Belcher Hill,Summit,39.8216538,-105.3058244,8127
Mount Tom,Summit,39.8163762,-105.3513813,9741
Centralia Mountain,Summit,39.8283206,-105.3702707,9783
Ralston Buttes,Summit,39.8499868,-105.2672122,7270
Castle Rock,Pillar,39.7555429,-105.2105438,6316
North Table Mountain,Summit,39.7913759,-105.2008212,6552
Inspiration Point,Summit,39.786931,-105.05915,5417
Mount Trelease,Summit,39.6955423,-105.9030681,12460
Coon Hill,Summit,39.6888756,-105.9452921,12716
Hagar Mountain,Summit,39.7102645,-105.9211244,13189
Pettingell Peak,Summit,39.7291534,-105.9047348,13464
Grays Peak,Summit,39.6338758,-105.8175092,14268
Mount Edwards,Summit,39.6363759,-105.7938971,13838
Torreys Peak,Summit,39.6427647,-105.8213982,14235
Kelso Mountain,Summit,39.6588759,-105.8002862,13176
Baker Mountain,Summit,39.6652647,-105.8305652,12398
Ganley Mountain,Summit,39.6688759,-105.7763962,12887
Mount Sniktau,Summit,39.6783202,-105.8577885,13218
Woods Mountain,Summit,39.7222091,-105.839732,11703
Engelmann Peak,Summit,39.7455426,-105.8005636,13376
Robeson Peak,Summit,39.7335981,-105.8061195,13104
Mount Parnassus,Summit,39.7199869,-105.822509,13579
Bard Peak,Summit,39.7202648,-105.8038971,13645
Silver Plume Mountain,Summit,39.713876,-105.7669512,12457
Otter Mountain,Summit,39.6277649,-105.7322281,12772
Paines Mountain,Summit,39.6588761,-105.7263943,12054
Little Sugarloaf Peak,Summit,39.668043,-105.6908375,11325
Sugarloaf Peak,Summit,39.6497096,-105.691671,12415
Independence Mountain,Summit,39.6808207,-105.6858372,11457
Alpine Peak,Summit,39.6863763,-105.6816704,11509
Griffith Mountain,Summit,39.7016542,-105.6738922,11575
Leavenworth Mountain,Summit,39.6849872,-105.7230608,11066
Columbia Mountain,Summit,39.7480429,-105.7122267,10170
Republican Mountain,Summit,39.7147094,-105.735561,12323
Democrat Mountain,Summit,39.720265,-105.7269496,11689
Woodchuck Peak,Summit,39.7152653,-105.6730587,11132
Saxon Mountain,Summit,39.7233208,-105.6694474,11532
Devils Nose,Summit,39.6597101,-105.5955564,11040
Goliath Peak,Summit,39.6408212,-105.59889,12218
Porcupine Hill,Summit,39.6447104,-105.549166,10210
Captain Mountain,Summit,39.6377661,-105.5297209,9888
Papoose Mountain,Summit,39.6802661,-105.5130532,11178
Chief Mountain,Summit,39.6755438,-105.5230536,11699
Warrior Mountain,Summit,39.6755436,-105.5566659,11273
Alps Mountain,Summit,39.7277656,-105.5975002,10564
Jackson Monument,Pillar,39.7391547,-105.523053,7575
Flirtation Peak,Summit,39.7347103,-105.5202751,8251
Captains Rock,Pillar,39.6352662,-105.4949975,8691
Mount Susan,Summit,39.6366551,-105.4730524,8455
Vance Peak,Summit,39.6644327,-105.4791634,10256
Hicks Mountain,Summit,39.6485994,-105.4391624,10082
Krinder Peak,Summit,39.6480438,-105.3908277,8346
Bergen Peak,Summit,39.6660992,-105.3952721,9701
Shaffer Hill,Summit,39.7044324,-105.4033275,8412
Mount Pence,Summit,39.6763771,-105.4261063,9888
Snyder Mountain,Summit,39.6713771,-105.4319398,9829
Mount Judge,Summit,39.6674883,-105.4563849,10275
Squaw Mountain,Summit,39.6794327,-105.4927747,11430
Saddleback Mountain,Summit,39.7160991,-105.4316615,9534
Elephant Butte,Summit,39.6349882,-105.3669383,8402
Jenkins Peak,Summit,39.6485992,-105.3713827,7930
Independence Mountain,Summit,39.6330436,-105.2958251,8330
Lininger Mountain,Summit,39.6891544,-105.2552679,7743
Genesee Mountain,Summit,39.7030434,-105.2936022,8277
Bald Mountain,Summit,39.7244321,-105.3094358,7992
Mount Falcon,Summit,39.6294323,-105.2305454,7841
Mount Glennon,Summit,39.6435989,-105.1841549,6440
Creation Rock,Pillar,39.6661111,-105.2063889,6627
Ship Rock,Pillar,39.6647222,-105.2061111,6519
Mount Carbon,Summit,39.6488766,-105.13582,5777
Green Mountain,Summit,39.7008208,-105.1780432,6847
Mount Morrison,Summit,39.6691544,-105.2199891,7877
Mount Zion,Summit,39.7435986,-105.2419337,7044
Colorow Hill,Summit,39.7299876,-105.249434,7566
Lookout Mountain,Summit,39.7324875,-105.2386004,7372
Ruby Hill,Summit,39.6835984,-105.0072046,5390
Sullivan Mountain,Summit,39.5630425,-105.8286212,13120
Revenue Mountain,Summit,39.5833202,-105.8083425,12887
Santa Fe Peak,Summit,39.5688758,-105.8369548,13172
Mount Wilcox,Summit,39.6166537,-105.7577846,13163
Argentine Peak,Summit,39.6122092,-105.77723,13733
Square Top Mountain,Summit,39.5933203,-105.7630628,13783
Epaulet Mountain,Summit,39.5705434,-105.6319473,13537
Mount Bierstadt,Summit,39.5827653,-105.6686151,14048
Gray Wolf Mountain,Summit,39.6172098,-105.6608368,13609
Mount Warren,Summit,39.6052655,-105.6336138,13294
Mount Spalding,Summit,39.5999876,-105.6569479,13852
The Sawtooth,Pillar,39.5891542,-105.6658372,13510
Rogers Peak,Summit,39.615408,-105.61758,13373
Black Mountain,Summit,39.5322108,-105.3980513,10731
Legault Mountain,Summit,39.5335994,-105.2649917,9045
Berrian Mountain,Summit,39.5549883,-105.2922146,9137
Doublehead Mountain,Summit,39.5624882,-105.2611025,8894
Evergreen Mountain,Summit,39.6105438,-105.3608272,8527
Kinney Peak,Summit,39.6052659,-105.3047145,8100
Bear Mountain,Summit,0,0,
Lone Peak,Summit,39.6044324,-105.2636022,8261
Huebner Peak,Summit,39.5052661,-105.2258241,8638
Crow Hill,Summit,39.5244327,-105.2447134,8655
High Peak,Summit,39.5269327,-105.2302685,8566
Yegge Peak,Summit,39.5408215,-105.2280461,8045
Sampson Mountain,Summit,39.5022106,-105.2041567,8281
Pyramid Peak,Summit,39.5299883,-105.1913783,7375
Wilds Peak,Summit,39.5288772,-105.1788779,7487
Fourth of July Mountain,Summit,39.5363771,-105.2091566,7552
Plymouth Mountain,Summit,39.5297105,-105.1572106,7274
Warren Peak,Summit,39.5052662,-105.151655,7969
Deer Mountain,Summit,39.542766,-105.1927671,7293
Bald Mountain,Summit,39.5505438,-105.2169345,7730
Mount Lindo,Summit,39.6094323,-105.2108227,7802
Riley Peak,Summit,39.4841552,-105.2808261,9363
Cathedral Spires,Summit,39.4224889,-105.2561039,8537
Banner Peak,Summit,39.4197112,-105.2955495,8445
Goat Mountain,Summit,39.4922107,-105.1472106,7785
Sheep Mountain,Summit,39.4241557,-105.1713787,7923
Turkshead Peak,Summit,39.4424889,-105.1363773,7730
Eagle Rock,Pillar,39.3919337,-105.1652677,6384
Raleigh Peak,Summit,39.395267,-105.2152694,8159
Chair Rocks,Pillar,39.4074891,-105.2363811,7900
The Castle,Pillar,39.3105454,-105.3824978,9426
Buffalo Peak,Summit,39.2755456,-105.3680534,11568
Little Scraggy Peak,Summit,39.314712,-105.2752724,9180
Green Mountain,Summit,39.3052676,-105.3002732,10413
Redskin Mountain,Summit,39.3588784,-105.3638856,8760
Skull Rock,Summit,39.2616569,-105.2316605,7126
Long Scraggy Peak,Summit,39.3491563,-105.2019361,8796
Sheeprock,Summit,39.1652686,-105.3305516,8704
Cheesman Mountain,Summit,39.234157,-105.2705507,7844
Mount Thomas,Summit,39.8669317,-105.448051,9334
Mount Galbraith,Summit,39.7647096,-105.2552673,7247
Kiowa Peak,Summit,40.0480421,-105.624169,13156
Big Owl Hill,Summit,40.25694,-105.03194,5082
Cabin Rock,Pillar,40.2749844,-105.5311108,9196
Mount Machebeuf,Summit,39.7230425,-105.8577883,12251
Bill Couch Mountain,Summit,39.5366549,-105.1599883,7057
Red Mountain,Summit,40.994699,-105.9350058,9094
Green Mountain,Summit,40.9599819,-105.6316619,9245
Steamboat Rock,Summit,40.8727606,-105.230259,6808
Middle Mountain,Summit,40.7591456,-105.8719535,9301
Gilman Mountain,Summit,40.8735944,-105.1174767,6247
Baker Mountain,Summit,40.3760927,-106.6008731,9819
Mount Chauncey,Summit,40.0785969,-105.9994621,9580
Cameron Peak,Summit,40.624703,-105.8947339,12123
White Rock,Summit,40.6233152,-105.4991612,8770
Moody Hill,Summit,40.5613714,-105.3686011,7890
Mummy Mountain,Summit,40.4749834,-105.6236132,13382
Terra Tomah Mountain,Summit,40.376651,-105.748619,12693
Deer Mountain,Summit,40.3794283,-105.5847233,10006
Sugarloaf Mountain,Summit,40.3752617,-105.3836038,8930
Alexander Mountain,Summit,40.4274837,-105.2513753,7073
Apiatan Mountain,Summit,40.2455409,-105.9436275,10312
Pagoda Mountain,Summit,40.2491515,-105.6263925,13392
Button Rock Mountain,Summit,40.253596,-105.3855493,8445
Indian Mountain,Summit,40.2622075,-105.2508214,6562
Sawtooth Mountain,Summit,40.1266525,-105.6247251,12267
Overland Mountain,Summit,40.1227634,-105.4236064,8697
Lonesome Peak,Summit,40.0813752,-105.7494517,10594
Butzel Hill,Summit,40.0741525,-105.3747157,8218
Standley Hill,Summit,40.1238736,-105.0883161,5125
Ninemile Mountain,Summit,39.9983195,-105.9530708,9685
Chittenden Mountain,Summit,39.9683203,-105.6225019,10856
Colorado Mountain,Summit,39.8755429,-105.5880558,10866
Shanahan Hill,Summit,39.9674859,-105.2566564,5735
Blue Mountain,Summit,39.8769312,-105.3377699,9337
Yankee Hill,Summit,39.8294318,-105.6219458,11224
Pile Hill,Summit,39.8610984,-105.624446,10886
Douglas Mountain,Summit,39.7522096,-105.6758364,9518
Gregory Hill,Summit,39.7933212,-105.5013855,8881
South Table Mountain,Summit,39.7555429,-105.2105438,6316
Mount Bethel,Summit,39.7099868,-105.8786226,12687
Sherman Mountain,Summit,39.7197093,-105.7491726,12300
Brown Mountain,Summit,39.7077649,-105.7508394,11601
Pendleton Mountain,Summit,39.6824871,-105.7513951,12257
Lincoln Mountain,Summit,39.7494317,-105.7108377,10364
Santa Fe Mountain,Summit,39.7102659,-105.4716627,10528
Bald Mountain,Summit,39.6266551,-105.4536076,8405
Baldy Peak,Summit,39.3744337,-105.308606,7835
Sugarloaf Peak,Summit,39.2491569,-105.3055519,8484
Ray Mesa,Summit,39.2938677,-109.0756678,5003
KBOL-AM (Boulder),Tower,40.0283189,-105.2522117,5279
KCOL-AM (Fort Collins),Tower,40.5624825,-105.0221987,4888
KCOL-AM (Fort Collins),Tower,40.5927602,-105.1055348,5029
KGRJ-AM (Fraser),Tower,39.9835977,-105.8502886,8409
KRKY-AM (Granby),Tower,40.0405417,-105.9369593,8084
KLMO-AM (Longmont),Tower,40.1910959,-105.1269283,5066
KLOV-AM (Loveland),Tower,40.3919279,-105.0980366,4967
KIIX-AM (Wellington),Tower,40.6499823,-105.048032,5131
KSSP-FM (Boulder),Tower,40.0719302,-105.3544372,7887
KXLT-FM (Denver),Tower,39.6716544,-105.2205447,7588
KOSI-FM (Denver),Tower,39.7291542,-105.2355447,7300
KHOW-FM (Denver),Tower,39.7330431,-105.2366558,7257
KAZY-FM (Denver),Tower,39.7330431,-105.2372114,7290
KOAQ-FM (Denver),Tower,39.7305431,-105.2358225,7247
KBPI-FM (Denver),Tower,39.7330431,-105.2372114,7290
KUVO-FM (Denver),Tower,39.7302654,-105.2502674,7529
KCFR-FM (Denver),Tower,39.7302654,-105.2502674,7529
KXKL-FM (Denver),Tower,39.599988,-105.2102672,7956
KVOD-FM (Denver),Tower,39.6724877,-105.2183225,7674
KTCL-FM (Fort Collins),Tower,40.5491493,-105.1974831,7129
KCSU-FM (Fort Collins),Tower,40.5999823,-105.1563698,5207
KRKM-FM (Kremmling),Tower,40.0049861,-106.4497546,9216
KRXY-FM (Lakewood),Tower,39.6958208,-105.1655428,6696
KQKS-FM (Longmont),Tower,40.1910959,-105.1269283,5066
KWBI-FM (Morrison),Tower,39.599988,-105.2102672,7956
KTVJ-TV (Boulder),Tower,39.7308208,-105.2327668,7172
KBDI-TV (Broomfield),Tower,39.7316542,-105.2366558,7231
KUSA-TV (Denver),Tower,39.7294319,-105.2361003,7369
KWGN-TV (Denver),Tower,39.7330431,-105.2372114,7290
KRMA-TV (Denver),Tower,39.7297098,-105.2502674,7523
KRMA-TV (Denver),Tower,39.7299876,-105.2505452,7520
KMGH-TV (Denver),Tower,39.7294319,-105.2372115,7388
KCNC-TV (Denver),Tower,39.7299875,-105.2344336,7293
KTVD-TV (Denver),Tower,39.6716544,-105.2205447,7588
KDVR-TV (Denver),Tower,39.7291542,-105.2372115,7421
KSHP-TV (Denver),Tower,39.7330431,-105.2372114,7290
KWBI-TV (Denver),Tower,39.5997102,-105.2102672,7926
Rowe Peak,Summit,40.4902612,-105.6455584,13399
Mount Pisgah,Summit,39.8063765,-105.5780552,10062
Mount Evans,Summit,39.588228,-105.643716,14249
KQXI-AM (Arvada),Tower,39.6672096,-104.9997045,5262
KBCO-AM (Boulder),Tower,39.9649858,-105.2352667,5436
KRKS-AM (Denver),Tower,39.6849874,-105.0685955,5459
KBNO-AM (Denver),Tower,39.6672096,-104.9997045,5262
KSIR-AM (Estes Park),Tower,40.337484,-105.5272213,8087
KRXY-AM (Lakewood),Tower,39.6555432,-105.0749847,5443
KGNU-FM (Boulder),Tower,39.9924852,-105.1549859,5590
KBCO-FM (Boulder),Tower,39.9133197,-105.2927686,8310
KYGO-FM (Denver),Tower,39.6763772,-105.4863857,10682
KQKS-FM (Longmont),Tower,39.9133197,-105.2927686,8310
KBDI-TV (Broomfield),Tower,39.6819327,-105.497497,11427
Signal Mountain,Summit,40.5255383,-105.5116633,11253
Baker Mountain,Summit,40.3816506,-105.9061254,12346
Specimen Mountain,Summit,40.4447059,-105.8086211,12460
Mount Neota,Summit,40.4824832,-105.8458446,11683
Bighorn Mountain,Summit,40.4294281,-105.6200021,11443
Mount Olympus,Summit,40.3744282,-105.4616626,8596
Stone Mountain,Summit,40.3991506,-105.2874882,7549
Mount Enentah,Summit,40.2552628,-105.766398,10748
Beaver Mountain,Summit,40.3683174,-105.6450036,10499
Mount Wuh,Summit,40.3338732,-105.66056,10725
Thatchtop,Summit,40.2791513,-105.6530601,12657
Flattop Mountain,Summit,40.3091513,-105.6905614,12326
Taylor Peak,Summit,40.2744291,-105.680839,13117
Snowdrift Peak,Summit,40.3102625,-105.7430635,12205
Steep Mountain,Summit,40.3430398,-105.6241696,9541
Rams Horn Mountain,Summit,40.3344285,-105.5461109,9524
Gianttrack Mountain,Summit,40.349984,-105.5505554,8717
Prospect Mountain,Summit,40.3594282,-105.5219431,8855
Emerald Mountain,Summit,40.3305398,-105.5872238,9209
Longs Peak,Summit,40.2548351,-105.6160784,14258
Storm Peak,Summit,40.2655403,-105.6205588,13320
Estes Cone,Summit,40.2952621,-105.5672232,11010
Lily Mountain,Summit,40.3191508,-105.5413886,9734
Table Mountain,Summit,40.1572078,-105.9025141,8825
Mount Bryant,Summit,40.2097076,-105.7880654,11007
Mount Wescott,Summit,40.2208186,-105.7522307,10417
Mount Cairns,Summit,40.2360963,-105.7472306,10873
Shadow Mountain,Summit,40.226652,-105.8052884,10125
Elk Tooth,Pillar,40.1677633,-105.6544487,12848
Chiefs Head Peak,Summit,40.2494292,-105.6413931,13520
Tanima Peak,Summit,40.2194295,-105.6608382,12434
Ouzel Peak,Summit,40.185541,-105.6711161,12677
Copeland Mountain,Summit,40.1819298,-105.6463929,13166
Lookout Mountain,Summit,40.2266515,-105.5647233,10702
Horsetooth Peak,Summit,40.2319292,-105.5600008,10341
Thunderbolt Peak,Summit,40.107486,-105.6691711,11913
Mount Albion,Summit,40.0391532,-105.6172243,12575
Dolores Point,Summit,38.6583185,-109.053444,7457
Mount Sanitas,Summit,40.0360968,-105.3061024,6821
Half Way Rock,Pillar,39.6566545,-105.2208227,6161
Mount Bross,Summit,40.0922076,-106.1333559,9094
Copper Mountain,Summit,39.9552634,-106.288083,10125
Fritz Peak,Summit,39.9094316,-105.4905525,8953
Mount Jasper,Summit,39.9944313,-105.6830598,12871
Chief Cheley Peak,Summit,40.3672065,-105.7741756,12815
Grannys Head,Summit,39.8261111,-105.3297222,8819
